date,#2016debates,#2a,#aliciamachado,#apfactcheck,#benghazi,#blacklivesmatter,#bloomberg,#classact,#climatechange,#clinton,#constitution,#crookedhillary,#donaldtrump,#education,#elmorenomichael,#equalpay,#exposehillary,#fact,#factche,#factcheck,#foxnews,#hannity,#hillary,#hillaryclinton,#icymi,#imwithher,#isis,#itrus,#j4jednation,#jobs,#kellyfile,#lgbt,#lovetrumpshate,#lyinhillary,#maga,#makeamericagreatagain,#mesamvs,#micdrop,#misstrendingtopic,#mivoto2016,#momsdemandhillary,#nafta,#neverhillary,#nevertrump,#newrule,#nydebate,#out-woman-ed,#outgunned,#outnumbered,#outplanned,#paidfamilyleave,#pearlsbeforeswine,#periscope,#polls,#potus,#presidentialdebate,#rawtonight,#respect,#retweet,#rt,#scotus,#shesla,#shewon,#slipping,#smackhim,#sondeo,#stami,#stamina,#stopandfrisk,#strongertogether,#tax,#tertuliahillaryvstrump,#tntweeters,#tpp,#trump,#trumpedup,#trumpeduptrickledown,#trumpshate,#trumpwins,#tytlive,#uspresidentialdebate,#veterans,#warondrugs,#watchoutmeryl,#werewithher,#withherfirst
2016-09-26 20:00:00,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,26,6,0,0,0,0,0,0,0,0,0,27,0,7,0,0,6,0,0,0,0,22,0,0,0,0,0,12,0,0,0,0,10,0,0,0,8,0,0,0,0,0,0,0
2016-09-26 20:05:00,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,32,0,34,0,0,4,0,4,0,0,32,0,0,0,0,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 20:10:00,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,11,0,91,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,39,0,55,0,0,0,0,0,0,0,39,0,0,0,0,0,29,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 20:15:00,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,5,0,103,0,0,0,0,0,0,0,0,8,0,0,0,0,19,0,0,16,0,0,0,0,0,0,0,0,0,0,18,0,43,0,0,0,0,10,0,0,25,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,10,0,0,0,6,0
2016-09-26 20:20:00,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,5,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,24,0,40,0,0,0,0,0,0,0,24,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 20:25:00,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,44,0,25,0,0,0,0,0,0,0,42,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 20:30:00,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,128,0,0,8,0,0,0,0,0,16,14,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,27,0,25,0,0,0,0,0,0,0,43,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 20:35:00,0,24,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,168,0,0,8,0,0,0,0,0,5,0,10,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,9,0,29,0,0,0,0,0,0,0,24,0,14,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 20:40:00,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,215,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,33,0,0,0,0,0,0,0,46,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 20:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,31,0,0,0,0,0,0,0,0,0,0,43,0,50,0,0,0,0,0,0,0,52,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
