date,#1uvote,#2a,#aliciamachado,#apfactcheck,#askaboutabortion,#benghazi,#birther,#birtherism,#blacklivesmatter,#bloomberg,#boom,#bzbfam,#classact,#climatechange,#clinton,#clintonfoundation,#constitution,#crookedhillary,#cybersecurity,#donaldtrump,#dwts,#economy,#education,#eeuu,#electingrecession,#election2016,#elmorenomichael,#emails,#envivo,#equalpay,#exposehillary,#fact,#factche,#factcheck,#fck,#fox,#foxnews,#foxnews2016,#hairspray,#hannity,#hillary,#hillary2016,#hillaryclinton,#hillyes,#icymi,#imw,#imwither,#imwithher,#isis,#itrus,#j4jednation,#jobs,#kellyfile,#ladyinred,#lgbt,#lockherup,#lovetrumpshate,#lyinhillary,#maga,#makeamericagreatagain,#map,#mesamvs,#micdrop,#millennials,#misstrendingtopic,#mivoto2016,#momsagainsttrump,#nafta,#neverhillary,#nevertrump,#newrule,#nodapl,#nyc,#orei,#out-woman-ed,#outgunned,#outnumbered,#outplanned,#overit,#paidfamilyleave,#paidleave,#pearlsbeforeswine,#pinko,#pleasedoagoodjob,#polls,#potus,#rawtonight,#respect,#retweet,#rt,#shesla,#sheslays,#sheswithus,#shewon,#slayqueen,#slipping,#smackhim,#sn,#stami,#stamina,#stopandfrisk,#strength,#strongertogether,#tax,#te,#temperament,#tertuliahillaryvstrump,#the411,#tntweeters,#toxictrump,#tpp,#trump,#trump's,#trump2016,#trumpedup,#trumpeduptrickledown,#trumpl,#trumpshate,#trumpslies,#trumptrain,#trumptriggered,#trumpwins,#tytlive,#unafraid,#usa,#votolatino,#warondrugs,#watchoutmeryl,#werewithher,#withherfirst,#wordsmatter
2016-09-26 20:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,6,0,0,0,0,0,0,22,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
2016-09-26 20:05:00,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,4,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,4,0,0,0,0,0,0,32,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 20:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,29,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 20:15:00,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,19,0,0,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
2016-09-26 20:20:00,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 20:25:00,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 20:30:00,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,8,0,0,0,0,0,0,0,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 20:35:00,0,24,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,8,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 20:40:00,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 20:45:00,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,31,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
