date,#1uvote,#2a,#aliciamachado,#apfactcheck,#askaboutabortion,#benghazi,#birther,#birtherism,#blacklivesmatter,#boom,#bringbernieback,#bzbfam,#classact,#cleanenergy,#climatechange,#clinton,#constitution,#crookedhillary,#cybersecurity,#donaldtrump,#dwts,#economy,#education,#electingrecession,#elmorenomichael,#emails,#envivo,#equalpay,#fact,#factche,#factcheck,#fox,#foxnews,#foxnews2016,#hairspray,#hannity,#hillary,#hillaryclinton,#hillyes,#icymi,#implicitbias,#imwither,#imwithher,#iran,#isis,#itrus,#j4jednation,#jobs,#kellyfile,#lockherup,#lyinhillary,#maga,#makeamericagreatagain,#map,#micdrop,#misstrendingtopic,#mivoto2016,#nafta,#neverhillary,#nevertrump,#orei,#out-woman-ed,#outgunned,#outnumbered,#outplanned,#overit,#paidfamilyleave,#paidleave,#pearlsbeforeswine,#pinko,#polls,#potus,#rawtonight,#retweet,#rt,#scotus,#shesla,#sheslays,#sheswithus,#shewon,#slipping,#smackhim,#sn,#stami,#stamina,#stopandfrisk,#strength,#strongert,#strongertogether,#tax,#teamtru,#tertuliahillaryvstrump,#the411,#tpp,#trump,#trump's,#trump2016,#trumpedup,#trumpeduptrickledown,#trumpeduptrickledowneconomics,#trumpl,#trumpslies,#trumptrain,#trumpwins,#tytlive,#unafraid,#upwithro,#usa,#veterans,#votolatino,#warondrugs,#watchoutmeryl,#won,#wordsmatter
2016-09-26 20:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,13,0,0,0,0,0,0,0,0,0,0,27,0,0,12,0,0,0,0,0,0,27,0,0,0,0,0,0,0,18,0,0,0,0,0,15,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
2016-09-26 20:05:00,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,35,0,0,12,0,10,0,0,0,0,35,0,0,0,0,0,0,0,14,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 20:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,42,0,0,10,0,0,0,0,0,0,43,0,0,0,0,0,0,0,32,0,0,0,0,0,11,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
2016-09-26 20:15:00,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,33,20,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,24,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 20:20:00,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,17,0,0,0,0,108,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,25,15,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 20:25:00,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,15,0,0,0,0,0,126,0,0,0,0,0,0,0,0,17,18,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 20:30:00,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,28,23,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,35,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 20:35:00,0,31,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,15,0,0,0,0,168,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 20:40:00,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,18,18,0,0,0,0,215,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 20:45:00,0,31,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,260,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,46,0,27,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
