date,#2a,#30years,#aca,#affordablecareact,#askaboutaleppo,#benghazi,#bigleague,#bigleaguetruth,#broaddrick,#citizensunited,#cnn,#disgusting,#dnc,#dropthemichrc,#envivo,#factcheck,#foxne,#foxnews,#foxnews2,#foxnews2016,#golive,#gop,#hannity,#hillary,#hillaryclinton,#icymi,#imwi,#imwithh,#imwithhe,#imwithher,#iowin,#iregistered,#j4jednation,#jones,#justiceforjuanita,#justodd,#kellyfile,#lgbtq,#lockherup,#lovetrumpshate,#lurch,#maga,#marriageequality,#mivoto2016,#muslims,#myvote,#ne,#neverhillary,#nevertrump,#nohandshake,#obamacare,#openquestion,#orangebuffoon,#pinkoutthevo,#poll,#rattledhillary,#regimechange,#retweet,#rhoa,#russia,#scotus,#secondamendment,#shadylady,#shelton,#shewon,#standwithaleppo,#strongertogether,#syria,#tax,#tcot,#toxictrump,#trump,#trump2016,#trumptapes,#trumptruth,#twofaced,#unethical,#unfittoserve,#wikileaks,#willey,#women,#womencanstoptrump
2016-10-09 20:00:00,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,52,0,0,0,0,0,0,0,0,81,0,0,0,0,11,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,15,0,26,0,0,0,0,0,0,0,0,0,0
2016-10-09 20:05:00,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,26,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,20,0,0,28,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,25,0,36,0,0,0,0,0,0,0,0,0,0
2016-10-09 20:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,21,0,0,16,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,18,0,0,14,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,26,0,57,0,0,0,0,0,0,0,0,0,0
2016-10-09 20:15:00,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,24,13,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,19,0,43,0,0,0,0,0,0,0,0,0,0
2016-10-09 20:20:00,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,0,0,0,41,0,0,0,0,0,0,0,17,0,0,0,15,0,0,0,0,0,15,0,0,0,0,0,33,0,0,0,0,0,41,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,41,0,0
2016-10-09 20:25:00,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,30,0,0,24,0,26,0,0,0,0,0,0,0,37,0,0
2016-10-09 20:30:00,0,0,0,0,40,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,30,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,37,29,0,0,0,0,51,0,0,0,0,0,0,0,30,0,0
2016-10-09 20:35:00,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,17,0,0,0,0,0,0,53,0,0,0,25,0,0,0,19,0,19,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,47,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0
2016-10-09 20:40:00,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,263,0,56,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,20,0,39,0,0,0,0,0,0,0,0,21,0
2016-10-09 20:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,180,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,35,26,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,18,0,30,0,0,0,0,0,0,22,0,0,0
2016-10-09 20:50:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,187,14,0,0,0,0,0,0,0,20,0,0,0,0,0,0,15,0,30,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,38,0,0,0,0,0,0,0,0,14,0
2016-10-09 20:55:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,240,0,0,17,0,0,0,0,0,0,0,0,18,0,0,0,0,32,28,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,18,0,33,0,0,0,0,0,0,0,0,0,0
2016-10-09 21:00:00,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,346,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,20,0,26,0,0,0,0,0,0,0,0,18,0,0,0,0,20,0,0,0,38,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0
2016-10-09 21:05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,177,0,0,0,0,40,0,0,0,0,454,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,21,30,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0
2016-10-09 21:10:00,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,50,0,52,0,0,0,0,41,0,0,0,0,415,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538,0,0,0,0,90,0,59,0,0,0,78,0,0,0,0
2016-10-09 21:15:00,0,0,0,0,0,56,0,515,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,47,0,0,0,0,956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,161,0,130,0,0,0,0,0,0,0,0
2016-10-09 21:20:00,0,0,0,0,0,163,0,1062,0,0,0,0,0,0,0,0,0,0,0,317,0,0,0,0,0,0,0,0,0,557,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,0,0,0,0,270,0,138,138,0,0,0,0,0,0,0
2016-10-09 21:25:00,0,0,0,0,0,136,0,1850,0,0,0,0,0,0,0,0,0,0,0,338,0,0,0,0,0,0,0,0,0,381,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,221,73,0,196,0,0,0,0,0,0,0
2016-10-09 21:30:00,0,0,207,83,0,0,0,3684,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,399,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,254,0,0,92,0,0,0,0,0,0,0
2016-10-09 21:35:00,0,0,96,0,0,0,0,1338,0,0,0,0,0,0,0,0,0,0,0,229,0,0,0,0,0,0,0,0,0,423,0,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0,319,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,61,160,0,0,60,0,0,0,0,0,0,0
2016-10-09 21:40:00,0,0,0,0,0,0,0,1652,0,0,0,0,0,0,0,0,0,0,0,242,0,0,0,0,0,0,0,0,0,434,0,0,0,0,0,0,0,0,0,68,0,164,0,0,132,0,0,0,0,0,130,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,161,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0
2016-10-09 21:45:00,0,0,0,0,0,0,0,1013,0,0,0,0,0,0,0,0,0,0,0,232,0,0,0,0,0,1693,0,0,0,339,0,0,0,0,0,0,0,0,0,0,0,1798,0,0,0,0,0,0,0,0,77,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,148,70,0,0,0,141,0,0,0,0,0,0,0,0,0,0
2016-10-09 21:50:00,0,0,0,0,0,0,0,625,0,0,0,0,0,0,0,0,0,0,189,177,0,0,0,0,0,353,0,0,0,361,0,0,0,0,0,0,0,0,0,0,0,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,0,0,0,0,0,0,0,0,0,134,0,0,0,0,143,0,0,0,120,0,0,0,0,0,0
2016-10-09 21:55:00,0,0,0,0,0,0,0,1109,0,0,0,0,0,0,0,0,0,0,101,202,0,0,0,0,0,245,0,0,0,469,0,0,0,0,0,0,0,0,0,0,0,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,218,0,0,0,683,0,0,0,0,0,127
2016-10-09 22:00:00,0,60,0,0,0,0,0,569,0,0,0,0,0,393,0,0,0,0,0,170,0,0,0,0,0,212,0,0,0,601,0,0,0,0,0,0,0,0,0,0,0,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,164,0,0,0,117,0,0,0,0,0,0
2016-10-09 22:05:00,0,0,0,0,0,0,0,512,0,0,0,0,0,288,0,0,0,0,0,77,0,0,0,0,0,174,0,0,0,425,0,0,0,0,0,0,0,0,0,0,0,309,0,0,0,0,0,0,0,0,0,0,0,0,0,283,0,0,0,81,0,0,0,0,0,0,0,210,0,0,0,125,0,0,0,0,0,0,0,0,0,0
2016-10-09 22:10:00,0,0,0,0,0,0,0,1042,0,0,0,0,0,100,0,0,0,0,0,534,0,0,0,0,0,100,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,627,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,79,0,0,0,0,75,0,0,0,0,0
2016-10-09 22:15:00,0,0,0,0,0,0,0,1185,0,0,0,0,0,62,0,0,0,0,0,303,0,0,0,0,0,91,0,0,0,304,0,0,0,0,0,0,0,0,0,0,0,321,0,0,0,0,0,0,0,0,0,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,61,95,0,0,0,116,0,0,0,0,0,0,0,0,0,0
2016-10-09 22:20:00,0,0,0,0,0,92,0,2565,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,91,0,0,0,302,0,0,0,0,0,0,0,0,0,0,0,355,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,104,67,0,0,0,229,0,0,0,0,0,0,0,0,0,0
2016-10-09 22:25:00,239,0,0,0,0,0,0,1019,0,153,0,0,0,0,0,0,0,0,0,527,0,0,0,0,0,0,0,0,0,432,0,0,0,0,0,0,0,0,0,0,0,221,126,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,687,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0
2016-10-09 22:30:00,1227,0,0,0,0,0,1761,677,0,0,0,0,0,0,0,0,0,0,0,588,0,0,0,0,0,0,0,0,205,421,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,535,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0
2016-10-09 22:35:00,440,0,0,0,0,0,494,956,0,0,0,0,0,0,0,0,0,0,0,314,0,0,0,0,0,0,0,0,0,415,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,102,0,0,0,0,85,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0
2016-10-09 22:40:00,324,0,0,0,0,0,442,806,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,130,0,875,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,91,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0
2016-10-09 22:45:00,275,0,0,0,0,0,370,728,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,199,0,0,640,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,254,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0
2016-10-09 22:50:00,318,0,0,0,0,0,336,720,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,243,0,0,418,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,269,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0
2016-10-09 22:55:00,215,0,0,0,0,0,285,713,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,107,176,0,0,329,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-09 23:00:00,155,0,0,0,0,0,234,673,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,97,149,0,0,267,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-09 23:05:00,135,0,0,0,0,0,205,618,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,77,92,0,0,228,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-09 23:10:00,117,0,0,0,0,0,160,558,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,75,105,0,0,189,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-09 23:15:00,71,0,0,0,0,0,181,451,0,0,0,0,0,0,0,0,0,0,117,222,0,0,0,0,0,73,0,0,0,179,0,0,0,0,0,0,118,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-09 23:20:00,69,0,0,0,0,0,154,454,0,0,0,0,0,0,0,0,0,0,121,220,0,0,0,0,0,108,0,0,0,358,0,0,0,0,0,0,159,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-09 23:25:00,90,0,0,0,0,0,146,449,0,0,0,0,0,0,0,0,0,0,97,154,0,0,0,0,0,80,0,0,0,605,0,0,0,0,0,0,98,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-09 23:30:00,67,0,0,0,0,0,119,362,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,59,0,0,0,537,0,0,0,0,0,0,92,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,53,0,0,0,0,0,0,0,0,0,0
2016-10-09 23:35:00,70,0,0,0,0,0,113,322,0,0,0,0,0,0,0,0,0,0,45,76,0,0,0,0,0,39,0,0,0,390,0,0,0,0,0,0,96,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0
2016-10-09 23:40:00,52,0,0,0,0,0,107,279,0,0,0,0,0,0,0,0,0,0,0,391,0,0,0,0,0,0,0,0,0,352,0,0,0,0,0,0,53,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,49,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0
2016-10-09 23:45:00,64,0,0,0,0,0,122,329,0,0,0,0,0,0,0,0,0,0,49,217,0,0,0,0,0,0,0,0,0,303,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,46,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0
