date,#2a,#2ndamendment,#abortion,#askthegays,#basementdwellers,#benghazi,#bibi,#bigleaguetruth,#clintonfoundation,#clintonkaine,#crookedhillary,#equalityact,#equalpay,#fact,#factcheck,#farmville,#firedup4kaine,#gayrights,#guncontrol,#hannity,#hillary,#hillary2016,#hillaryclinton,#imwi,#imwith,#imwithher,#imwiththem,#imwithtim,#j4jednation,#kainemeltdown,#kaineyounot,#kellyfile,#knowyourhistory,#lockherup,#lovetrumpshate,#maga,#mivoto2016,#myvote,#neverhillary,#notmycandidate,#nra,#ohhillyes,#paytoplay,#pence,#penceisyourdaddy,#philandocastile,#pinkoutthevote,#protip,#reprorights,#retweet,#sexist,#showyourcrow,#socialsecurity,#st,#strongertogeth,#strongertogether,#thatmexicanthingagain,#timkaine,#timkainefacts,#tru,#trump,#trump20,#trump2016,#trumppence,#trumppence16,#trustwomen,#unhinged,#uniteblue,#virwinia,#vp,#vpd,#wontbepunished,#ya4hillary
2016-10-04 20:00:00,0,0,0,10,0,5,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,14,5,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-04 20:05:00,0,0,0,23,0,0,0,5,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,0,0,0,0,0,0,0,0,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0
2016-10-04 20:10:00,4,0,0,22,0,0,0,0,0,4,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,12,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2016-10-04 20:15:00,0,0,0,19,0,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,0,0,0,0,0,0,5,0,0,0,5,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
2016-10-04 20:20:00,4,0,0,10,0,0,0,0,0,13,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,5,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-04 20:25:00,0,0,0,9,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,25,0,0,0,0,0,3,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,5,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0
2016-10-04 20:30:00,0,0,0,6,0,0,0,48,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,19,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,5,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-04 20:35:00,0,0,0,35,0,0,0,28,0,13,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,15,7,0,0,0,0,0,0,7,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-04 20:40:00,0,0,0,30,0,0,0,19,0,17,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-04 20:45:00,55,0,0,0,0,0,0,20,0,25,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,57,17,27,19,0,0,0,0,0,0,0,0,0,54,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
