date,#1uvote,#aliciamachado,#am,#americafirst,#benghazi,#birther,#bloomberg,#cantinfleando,#centralpark5,#centralparkfive,#chelasfortheband,#climatechange,#clinton,#clintonvstrump,#constitution,#crookedhillary,#donaldtrump,#drink,#elmorenomichael,#factche,#foxnews,#hannity,#howarethosesniffles,#im,#imwithher,#isis,#kellyfile,#lawandorder,#leadright2016,#leavethecountry,#liberal,#lobotomy,#ma,#maga,#makeamericagreatagain,#mexico,#misstrendingtopic,#mivoto2016,#nafta,#namecalling,#nato,#nevertrump,#newversion,#onevote,#polls,#potus,#presidentialdebate,#publiced,#rawtonight,#slipping,#sniffles,#sondeo,#sosweet,#stamina,#stopandfrisk,#tactics,#taxreturns,#teamtrump,#tertuliahillaryvstrump,#thatawkwardmoment,#toxictrump,#tpp,#tr,#triggerwarning,#trump,#trump2016,#trumpeduptrickledown,#trumpiswi,#trumppence,#trumppence16,#trumptrain,#trumpwins,#uspresidentialdebate,#warofnorthernaggression,#whitesagainsttrump
2016-09-26 20:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,98,24,0,0,0,0,0,0,0,0,0,7,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,250,13,72,0,0,0,0
2016-09-26 20:05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,45,0,0,0,0,0,0,0,0,0,21,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,0,0,0,278,23,98,0,0,0,0
2016-09-26 20:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,35,0,0,0,0,0,0,0,0,0,31,0,21,0,0,31,0,0,20,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,284,8,93,0,0,0,0
2016-09-26 20:15:00,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,18,0,0,19,0,0,0,0,0,0,11,0,30,7,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,20,7,0,0,0,275,14,116,0,0,0,0
2016-09-26 20:20:00,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,32,0,0,0,0,0,0,11,0,0,9,0,18,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,9,8,9,0,0,0,303,0,81,0,0,0,0
2016-09-26 20:25:00,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,127,30,0,0,0,0,0,0,0,0,0,33,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,321,0,64,0,0,0,0
2016-09-26 20:30:00,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,168,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,7,0,0,300,8,155,0,0,0,0
2016-09-26 20:35:00,0,0,33,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,10,0,0,0,0,0,0,0,0,156,9,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,10,115,0,0,0,0
2016-09-26 20:40:00,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,8,0,0,0,0,0,0,0,0,132,20,0,0,0,0,0,0,0,0,0,31,0,0,0,0,12,0,0,0,0,0,0,17,0,0,0,0,0,9,0,0,0,0,0,276,0,93,0,0,0,0
2016-09-26 20:45:00,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,9,0,0,0,0,0,0,0,0,171,63,0,0,0,0,0,0,0,0,0,22,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,0,121,0,0,0,0
