date,#americatogether,#birdiesanders,#caucusforbernie,#demdebate,#demtownhall,#feelthebern,#iowacaucus,#michiganprimary,#nhprimary,#notmeus,#nyprimary,#supermonday,#supertuesday
2015-12-23,0.0,0.0,0.0,223.0,0.0,3320.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
2015-12-24,0.0,0.0,0.0,203.0,0.0,2906.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-25,0.0,0.0,0.0,107.0,0.0,2254.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
2015-12-26,0.0,0.0,0.0,121.0,0.0,2555.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2015-12-27,0.0,0.0,0.0,367.0,0.0,3332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-28,0.0,0.0,0.0,345.0,0.0,3879.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-29,0.0,0.0,0.0,136.0,0.0,3001.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-30,0.0,0.0,0.0,81.0,0.0,3593.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0
2015-12-31,0.0,0.0,0.0,40.0,0.0,3321.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0
2016-01-01,0.0,0.0,0.0,59.0,0.0,2762.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0
2016-01-02,0.0,0.0,0.0,51.0,0.0,4262.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-03,0.0,0.0,0.0,53.0,0.0,3066.0,29.0,0.0,3.0,0.0,0.0,0.0,1.0
2016-01-04,0.0,0.0,0.0,104.0,0.0,3485.0,34.0,0.0,4.0,0.0,0.0,0.0,0.0
2016-01-05,0.0,0.0,1.0,113.0,0.0,6442.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-06,0.0,0.0,0.0,74.0,0.0,6741.0,22.0,0.0,1.0,0.0,0.0,0.0,0.0
