date,#2a,#americafirst,#amjoy,#as,#ask,#askthegays,#basementdwellers,#bigleagu,#bigleaguetrut,#bigleaguetruth,#blacklivesmatter,#cbn2016,#christ,#christianity,#christianvalues,#cnnrealitycheck,#foxnews,#gop,#guccifer2,#hannity,#hillary,#imwithher,#in,#indiana,#ingov,#isis,#j4jednation,#kaine,#kainewreck,#kellyfile,#kreepykaine,#lgbt,#lgbtq,#lockherup,#maga,#makeame,#makeamerica,#makeamericagreatagain,#manypeoplearesaying,#mediabias,#mikepence,#never,#neverhillary,#notmyticket,#obamacare,#paytoplay,#pe,#penc,#pence,#pencesgreatesthits,#pencewon,#prolife,#reprohealth,#resolve,#rfra,#rnc,#socialsecurity,#takeastand,#teampence,#thatmexicanthing,#thatmexicanthingagain,#thuglife,#tr,#tru,#trump,#trump's,#trump2016,#trumppence16,#trumppence2016,#trumptrain,#ttt16,#va,#vp,#vpd,#wearewithyou,#مايك_بينس
2016-10-04 20:00:00,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,8,0,37,0,0,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,6,0,3,0,0,0,0,0,0
2016-10-04 20:05:00,0,0,0,13,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,27,0,3,4,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15,0,3,0,0,0,0,0,0
2016-10-04 20:10:00,0,0,2,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,5,10,0,19,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,5,2,12,0,0,0,0,0,0,0,0
2016-10-04 20:15:00,0,0,0,36,0,53,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,2,0,0,2,0,27,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,12,0,0,0,2,0,0,0,0
2016-10-04 20:20:00,0,0,0,16,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,19,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,4,0,5,0,0,0,0,0,0
2016-10-04 20:25:00,0,0,4,19,0,34,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,8,0,0,0,0,0,0,0,0
2016-10-04 20:30:00,0,0,4,2,0,47,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,26,0,0,0,0,0,6,0,0,0,0,0,0,0,0
2016-10-04 20:35:00,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,11,0,12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,17,0,2,0,0,0,0,0,0
2016-10-04 20:40:00,0,0,0,3,0,43,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,2,0,0,3,0,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,2,10,0,2,0,0,0,0,2,0
2016-10-04 20:45:00,0,0,0,0,0,37,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,13,0,0,0,0,0,18,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,25,0,5,0,0,0,0,0,0
2016-10-04 20:50:00,0,3,0,25,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,22,0,0,0,0,0,0,15,0,0,0,0,0,0,0
