date,#,#aliciamachado,#americafirst,#benghazi,#constitution,#de,#deb,#deba,#debat,#debate,#debate2016,#debatenigh,#debatenight,#debates,#debates2,#debates20,#debates2016,#elmorenomichael,#im,#imwithher,#isis,#kellyfile,#ma,#maga,#misstrendingtopic,#presidentialdebate,#sniffles,#stopandfrisk,#thatawkwardmoment,#tpp,#trumppence,#trumptrain,#trumpwins
2016-09-26 20:00:00,0,0,0,0,0,0,0,0,0,0,0,0,596,73,0,0,228,0,0,0,0,0,0,98,0,0,0,0,0,0,250,27,0
2016-09-26 20:05:00,0,0,0,0,0,0,0,0,0,0,0,0,641,136,0,0,216,0,0,0,0,0,0,134,0,0,0,0,0,0,278,0,0
2016-09-26 20:10:00,0,0,0,0,0,0,0,0,0,0,0,0,697,76,0,0,218,0,0,0,0,0,0,122,0,0,0,0,0,0,284,42,0
2016-09-26 20:15:00,0,0,0,0,0,0,0,0,0,0,0,0,771,134,0,0,299,0,0,0,0,0,0,82,0,0,0,0,0,0,275,78,0
2016-09-26 20:20:00,0,0,0,0,0,0,0,0,0,0,0,0,776,140,0,0,259,0,0,0,0,0,0,106,0,0,0,0,0,0,303,0,0
2016-09-26 20:25:00,0,0,0,0,0,0,0,0,0,0,0,0,721,127,0,0,199,0,0,0,0,0,0,127,0,0,0,0,0,0,321,0,0
2016-09-26 20:30:00,0,0,0,0,0,0,0,0,0,0,0,0,721,31,0,0,211,0,0,0,0,0,0,168,0,0,0,0,0,0,300,126,0
2016-09-26 20:35:00,0,0,0,0,0,0,0,0,0,0,0,0,731,122,0,0,194,0,0,0,0,0,0,156,0,0,0,0,0,0,299,29,0
2016-09-26 20:40:00,0,0,0,0,0,0,0,0,0,0,0,0,725,145,0,0,216,0,0,0,0,0,0,132,0,0,0,0,0,0,276,0,0
2016-09-26 20:45:00,0,0,0,0,0,0,0,0,0,0,0,0,2556,139,0,0,294,0,0,0,0,0,0,171,0,0,0,0,0,0,315,23,0
2016-09-26 20:50:00,0,0,0,0,0,0,0,0,0,0,0,0,2579,121,0,0,369,0,0,0,0,0,79,163,0,0,0,0,0,0,307,0,0
2016-09-26 20:55:00,0,0,0,0,0,0,0,0,0,0,0,0,2024,155,0,0,573,0,0,0,0,0,149,42,0,35,0,0,0,0,297,0,0
2016-09-26 21:00:00,0,0,0,0,0,0,0,0,0,86,0,0,2352,374,0,0,802,0,0,0,0,0,0,59,0,0,0,0,0,0,387,30,0
2016-09-26 21:05:00,0,0,0,0,0,0,0,0,0,396,0,0,3023,1182,0,0,1458,0,0,0,0,0,0,47,0,232,0,0,0,0,0,0,0
2016-09-26 21:10:00,0,0,0,0,0,0,0,0,0,314,0,0,7885,1925,0,0,2882,0,0,52,0,0,0,0,0,491,0,0,0,0,0,0,0
2016-09-26 21:15:00,0,0,0,0,0,0,0,0,0,520,0,0,10603,3121,0,0,4405,0,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0
2016-09-26 21:20:00,0,0,0,0,0,0,301,0,0,95,0,0,10436,3167,573,0,3752,0,0,87,0,0,0,0,0,491,0,0,0,586,0,0,0
2016-09-26 21:25:00,338,0,0,0,0,0,0,0,0,1374,0,0,11509,3651,225,0,3622,0,0,0,0,0,0,0,0,281,0,0,0,534,0,0,0
2016-09-26 21:30:00,454,0,0,0,0,0,166,0,0,2151,0,0,13536,3502,0,0,4218,0,0,356,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 21:35:00,418,0,0,0,0,0,295,0,0,1836,0,0,13515,4197,0,0,7063,0,0,313,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 21:40:00,534,0,0,0,0,0,0,0,0,1918,0,0,12446,3867,0,0,6517,0,0,506,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 21:45:00,549,0,0,0,260,0,0,0,0,1202,0,0,12133,3474,0,0,4989,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0
2016-09-26 21:50:00,0,0,0,0,0,0,0,0,0,146,0,0,14547,6299,0,0,8200,0,0,0,0,0,0,3076,0,0,0,1157,0,0,0,0,0
2016-09-26 21:55:00,0,0,0,0,0,0,0,0,0,0,0,0,9669,3981,0,0,4510,0,0,0,0,0,0,1434,0,0,0,1863,0,0,0,0,0
2016-09-26 22:00:00,0,0,0,0,0,0,0,0,0,292,0,0,10339,4253,0,0,4276,0,0,0,0,0,0,896,0,0,0,863,0,0,0,0,0
2016-09-26 22:05:00,146,0,0,0,0,126,0,0,0,444,0,0,10381,7007,0,0,4575,0,0,0,0,0,0,872,0,0,0,0,0,0,0,0,0
2016-09-26 22:10:00,0,0,0,0,0,0,0,0,0,753,0,0,11641,4903,0,0,4710,0,0,0,0,0,0,540,0,136,0,0,0,0,0,0,0
