date,#benghazi,#bigleag,#bigleagu,#bigleague,#bigleaguetrut,#bigleaguetruth,#billybushgate,#clinton,#constitution,#crookedhillary,#facebooklive,#fact,#foxnews2,#foxnews2016,#golive,#gop,#hannity,#hillary,#hillary's,#hillaryclinton,#icymi,#imwithhe,#imwithher,#lgbtq,#maga,#makeamericagreatagain,#obamacare,#rattledhillary,#syria,#trump,#trumptapes,#trumptrain,#trumpwon
2016-10-09 20:00:00,0,0,0,0,0,0,0,0,0,0,94,0,0,201,52,0,0,0,0,0,0,0,0,0,80,0,0,0,0,62,0,0,0
2016-10-09 20:05:00,0,0,0,0,0,0,0,0,0,0,112,0,0,189,0,0,0,0,0,0,0,0,53,0,120,0,0,0,0,85,0,0,0
2016-10-09 20:10:00,0,0,0,0,0,0,0,0,0,0,108,0,0,183,0,0,0,0,0,0,0,0,63,0,184,0,0,0,0,96,0,0,0
2016-10-09 20:15:00,0,0,0,0,0,0,0,0,0,0,85,0,0,154,0,0,0,0,0,57,0,0,0,0,151,0,0,0,0,85,0,0,0
2016-10-09 20:20:00,0,0,0,0,0,0,0,78,0,0,108,0,0,102,0,82,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0
2016-10-09 20:25:00,0,0,0,0,0,0,0,102,0,0,104,0,0,0,0,111,0,0,0,0,0,0,0,0,137,1953,0,0,0,0,0,0,0
2016-10-09 20:30:00,0,0,0,0,0,0,89,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,150,857,0,0,0,84,0,0,0
2016-10-09 20:35:00,0,0,0,0,0,0,0,0,0,0,84,0,0,68,0,0,0,0,0,0,0,0,0,0,156,692,0,0,0,97,0,0,0
2016-10-09 20:40:00,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,64,0,0,0,0,0,130,670,0,0,0,98,0,0,0
2016-10-09 20:45:00,0,0,0,0,0,0,0,0,0,0,67,119,0,0,0,0,0,0,0,0,0,0,0,0,113,523,0,0,0,84,0,0,0
2016-10-09 20:50:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,108,125,493,0,0,0,105,0,0,0
2016-10-09 20:55:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,134,121,436,0,0,0,104,0,0,0
2016-10-09 21:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,146,459,0,0,0,95,0,80,0
2016-10-09 21:05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,101,0,128,331,0,0,0,72,0,0,0
2016-10-09 21:10:00,0,0,0,1274,0,1698,0,0,0,0,0,0,0,413,0,0,0,0,0,0,0,0,294,0,0,0,0,0,0,0,262,0,0
2016-10-09 21:15:00,0,0,0,997,0,1706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,361,0,0,0,0,0,0,0,224,0,0
2016-10-09 21:20:00,0,0,0,353,0,640,0,0,0,0,0,0,0,422,0,0,0,0,0,0,0,0,295,0,0,241,0,0,0,0,0,0,0
2016-10-09 21:25:00,0,0,0,314,0,1887,0,0,0,1107,0,0,0,411,0,0,0,0,0,0,0,0,0,0,0,431,0,0,0,0,0,0,0
2016-10-09 21:30:00,0,0,0,0,0,4259,0,0,0,1505,0,0,0,446,0,0,0,0,0,0,0,0,0,0,0,377,2177,0,0,0,0,0,0
2016-10-09 21:35:00,0,0,0,0,0,1988,0,0,0,580,0,0,0,435,0,0,0,0,0,0,0,0,0,0,1960,0,1700,0,0,0,0,0,0
2016-10-09 21:40:00,0,0,0,0,0,4045,0,0,0,1704,0,0,0,612,0,0,0,0,0,0,0,0,0,0,953,0,776,0,0,0,0,0,0
2016-10-09 21:45:00,0,0,0,0,0,4008,0,0,0,1401,0,0,0,547,0,0,0,0,0,0,1704,0,0,0,3140,0,0,0,0,0,0,0,0
2016-10-09 21:50:00,0,0,0,0,0,1234,0,0,467,524,0,0,0,0,0,0,0,0,0,0,359,0,0,0,973,0,0,0,0,0,0,0,0
2016-10-09 21:55:00,0,0,0,0,0,1044,0,0,0,455,0,0,0,477,0,0,0,0,0,0,0,0,0,0,705,0,442,0,0,0,0,0,0
2016-10-09 22:00:00,0,0,0,0,0,1288,0,0,0,391,0,0,0,917,0,0,0,0,0,0,0,0,0,0,670,0,270,0,0,0,0,0,0
2016-10-09 22:05:00,0,0,0,0,0,1054,0,0,0,327,0,0,0,429,0,0,0,0,0,0,0,0,0,0,621,0,0,2297,0,0,0,0,0
2016-10-09 22:10:00,0,0,0,0,0,2081,0,0,0,0,0,0,0,858,0,0,0,0,0,0,0,0,0,0,407,0,0,1610,325,0,0,0,0
2016-10-09 22:15:00,0,0,2115,0,0,2079,0,0,0,0,0,0,0,694,0,0,0,0,0,0,0,0,0,0,524,0,0,772,0,0,0,0,0
2016-10-09 22:20:00,0,0,541,0,0,2808,0,0,0,0,0,0,0,668,0,0,0,0,0,0,0,0,0,0,549,0,0,424,0,0,0,0,0
2016-10-09 22:25:00,0,1132,0,0,447,3014,0,0,0,0,0,0,0,1099,0,0,0,0,0,0,0,0,0,0,392,0,0,0,0,0,0,0,0
2016-10-09 22:30:00,593,1118,0,1823,0,2912,0,0,0,0,0,0,0,932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-09 22:35:00,0,400,0,574,0,2553,0,0,0,0,0,0,0,450,0,0,0,0,0,0,0,0,0,0,364,0,0,0,0,0,0,0,0
2016-10-09 22:40:00,0,0,0,532,0,2505,0,0,0,0,0,0,0,388,0,0,0,0,0,0,0,0,0,0,496,0,0,0,0,0,0,0,345
2016-10-09 22:45:00,0,0,0,552,0,2485,0,0,0,0,0,0,0,320,0,0,0,0,0,0,0,0,0,0,4422,0,0,0,0,0,0,0,328
2016-10-09 22:50:00,0,290,0,512,0,1903,0,0,0,0,0,0,0,361,0,0,0,0,0,0,0,0,0,0,4413,0,0,0,0,0,0,0,0
2016-10-09 22:55:00,0,0,0,416,0,1740,0,0,0,0,0,0,0,466,0,0,0,0,0,0,0,0,0,0,5850,0,0,0,0,0,0,494,0
2016-10-09 23:00:00,0,0,0,351,0,1797,0,0,0,0,0,0,0,487,0,0,0,0,0,0,0,0,0,0,4817,0,0,0,0,0,0,327,0
2016-10-09 23:05:00,0,0,0,285,0,1467,0,0,0,189,0,0,0,340,0,0,0,0,0,0,0,0,0,0,3932,0,0,0,0,0,0,0,0
2016-10-09 23:10:00,0,0,0,228,0,1401,0,0,0,188,0,0,0,251,0,0,0,0,0,0,0,0,0,0,2879,0,0,0,0,0,0,0,0
2016-10-09 23:15:00,0,0,0,246,0,1199,0,0,0,0,0,0,356,342,0,0,0,0,0,0,0,0,0,0,2584,0,0,0,0,0,0,0,0
2016-10-09 23:20:00,0,0,0,232,0,1187,0,0,0,0,0,0,384,342,0,0,0,0,0,0,0,0,0,0,2331,0,0,0,0,0,0,0,0
2016-10-09 23:25:00,0,0,0,241,0,1105,0,0,0,238,0,0,224,0,0,0,0,0,0,0,0,0,0,0,2007,0,0,0,0,0,0,0,0
2016-10-09 23:30:00,0,0,0,179,0,859,0,0,0,0,0,0,0,274,0,0,0,206,0,0,0,0,0,0,1585,0,0,0,0,0,0,0,0
2016-10-09 23:35:00,0,0,0,163,0,771,0,0,0,0,0,0,0,238,0,0,0,0,0,0,0,0,0,0,1391,351,0,0,0,0,0,0,0
2016-10-09 23:40:00,0,0,0,158,0,859,0,0,0,0,0,0,0,520,0,0,0,0,0,0,0,0,0,0,1296,1388,0,0,0,0,0,0,0
2016-10-09 23:45:00,0,0,0,176,0,803,0,0,0,0,0,0,0,338,0,0,0,0,0,0,0,0,0,0,1235,797,0,0,0,0,0,0,0
2016-10-09 23:50:00,0,0,0,182,0,815,0,0,0,0,0,0,0,276,0,0,0,0,0,0,0,0,0,0,1257,611,0,0,0,0,0,0,0
2016-10-09 23:55:00,0,0,0,145,0,668,0,0,0,0,0,0,0,232,0,0,0,0,0,0,0,0,0,0,1102,555,0,0,0,0,0,0,0
2016-10-10 00:00:00,0,0,0,117,0,539,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,994,382,0,0,0,0,0,0,0
2016-10-10 00:05:00,0,0,0,130,0,494,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,869,357,0,0,0,0,0,0,0
2016-10-10 00:10:00,0,0,0,131,0,477,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,760,331,0,0,0,0,0,0,0
2016-10-10 00:15:00,0,0,0,143,0,488,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,775,293,0,0,0,0,0,0,0
2016-10-10 00:20:00,0,0,0,112,0,428,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,663,252,0,0,0,0,0,0,0
2016-10-10 00:25:00,0,0,0,121,0,352,0,0,0,0,0,0,0,281,0,0,0,0,0,0,0,0,0,0,635,233,0,0,0,0,0,0,0
2016-10-10 00:30:00,0,0,0,0,0,327,0,0,0,0,0,0,0,302,0,0,169,0,0,0,0,0,0,0,654,205,0,0,0,0,0,0,0
2016-10-10 00:35:00,0,0,0,0,0,361,0,0,0,0,0,0,0,196,0,0,91,0,0,0,0,0,0,0,612,209,0,0,0,0,0,0,0
2016-10-10 00:40:00,0,0,0,0,0,383,0,0,0,0,0,0,0,205,0,0,97,0,0,0,0,0,0,0,606,197,0,0,0,0,0,0,0
2016-10-10 00:45:00,0,0,0,0,0,290,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,550,185,0,70,0,0,0,0,0
2016-10-10 00:50:00,0,0,0,0,0,264,0,0,0,67,0,0,0,140,0,0,0,0,0,0,0,0,0,0,495,165,0,0,0,0,0,0,0
2016-10-10 00:55:00,0,0,0,0,0,245,0,0,0,74,0,0,0,134,0,0,0,0,0,0,0,0,0,0,454,168,0,0,0,0,0,0,0
2016-10-10 01:00:00,0,0,0,0,0,223,0,0,0,56,0,0,0,92,0,0,0,0,0,0,0,0,0,0,470,139,0,0,0,0,0,0,0
2016-10-10 01:05:00,0,0,0,0,0,200,0,0,0,55,0,0,0,64,0,0,0,0,0,0,0,0,0,0,422,131,0,0,0,0,0,0,0
2016-10-10 01:10:00,0,0,0,0,0,240,0,0,0,62,0,0,0,85,0,0,0,0,0,0,0,0,0,0,436,145,0,0,0,0,0,0,0
2016-10-10 01:15:00,0,0,0,0,0,227,0,0,0,58,0,0,0,81,0,0,0,0,0,0,0,0,0,0,392,104,0,0,0,0,0,0,0
2016-10-10 01:20:00,0,0,0,0,0,217,0,0,0,52,0,0,0,79,0,0,0,0,0,0,0,0,0,0,384,144,0,0,0,0,0,0,0
2016-10-10 01:25:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
